Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip2_0	1.639965	0.013206	0.000070	0.436017
specbzip2_1	1.561447	0.011133	0.000040	0.133308
specbzip2_2	1.611632	0.013210	0.000070	0.356781
specbzip2_3	1.602634	0.012760	0.000053	0.229714
specbzip2_4	1.686691	0.017790	0.000063	0.226426
specbzip2_5	1.633673	0.012758	0.000053	0.324427
specbzip2_6	1.589691	0.012757	0.000053	0.196260
specbzip2_7	1.580755	0.012740	0.000053	0.174217
specbzip2_8	1.556701	0.009755	0.000052	0.231584
specbzip2_9	1.568549	0.011618	0.000070	0.324134
specbzip2_10	1.561447	0.011133	0.000040	0.133308
specmcf_0	1.142751	0.001970	0.000018	0.881828
specmcf_1	1.102712	0.001172	0.000027	0.292813
specmcf_2	1.140733	0.001970	0.000018	0.819520
specmcf_3	1.114410	0.001246	0.000013	0.667934
specmcf_4	1.124604	0.002312	0.000034	0.406700
specmcf_5	1.117873	0.001246	0.000013	0.776415
specmcf_6	1.112112	0.001246	0.000013	0.597267
specmcf_7	1.111918	0.001246	0.000013	0.590910
specmcf_8	1.111239	0.001120	0.000013	0.653408
specmcf_9	1.100838	0.000921	0.000009	0.382600
specmcf_10	1.100750	0.000921	0.000009	0.379348
specmcf_11	1.102712	0.001172	0.000027	0.292813
specmcf_12	1.102621	0.001172	0.000027	0.290181
spechmmer_0	1.189092	0.002331	0.000084	0.097571
spechmmer_1	1.179780	0.000578	0.000078	0.037121
spechmmer_2	1.189082	0.002331	0.000084	0.097453
spechmmer_3	1.181902	0.001184	0.000064	0.100153
spechmmer_4	1.207712	0.003162	0.000369	0.036213
spechmmer_5	1.181964	0.001184	0.000064	0.101263
spechmmer_6	1.181902	0.001184	0.000064	0.100153
spechmmer_7	1.181902	0.001184	0.000064	0.100153
spechmmer_8	1.181615	0.001132	0.000057	0.104814
spechmmer_9	1.177972	0.000544	0.000074	0.070031
spechmmer_10	1.178368	0.000579	0.000040	0.107986
spechmmer_11	1.179780	0.000578	0.000078	0.037121
specsjeng_0	7.040538	0.121831	0.000019	0.999985
specsjeng_1	2.648297	0.004024	0.000007	0.898667
specsjeng_2	7.041083	0.121831	0.000019	0.999985
specsjeng_3	4.975723	0.060918	0.000013	0.999973
specsjeng_4	5.013971	0.062028	0.000014	0.964875
specsjeng_5	4.976473	0.060918	0.000013	0.999973
specsjeng_6	4.974751	0.060918	0.000013	0.999973
specsjeng_7	4.972571	0.060918	0.000013	0.999978
specsjeng_8	7.040931	0.121831	0.000020	0.999972
specsjeng_9	4.975871	0.060922	0.000015	0.999826
specsjeng_10	3.715957	0.030472	0.000009	0.999218
specsjeng_11	3.071704	0.015279	0.000008	0.993690
specsjeng_12	2.756589	0.007724	0.000007	0.972470
specsjeng_13	2.648297	0.004024	0.000007	0.898667
speclbm_0	2.631263	0.060971	0.000085	0.999979
speclbm_1	1.991390	0.030487	0.000087	0.999941
speclbm_2	2.624355	0.060971	0.000085	0.999979
speclbm_3	1.991078	0.030487	0.000087	0.999941
speclbm_4	1.991390	0.030487	0.000087	0.999941
speclbm_5	1.990438	0.030487	0.000087	0.999941
speclbm_6	1.991623	0.030487	0.000112	0.999799
speclbm_7	2.631574	0.060971	0.000094	0.999944
speclbm_8	1.655129	0.015244	0.000090	0.999833
speclbm_9	1.492062	0.007623	0.000088	0.999597
speclbm_10	1.448663	0.003812	0.000113	0.998681
speclbm_11	1.374122	0.001907	0.000115	0.996451
