Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip	1.679650	0.014798	0.000077	0.282163
specbzip2GHZ	1.679650	0.014798	0.000077	0.282163
spechmmer	1.187917	0.001637	0.000221	0.077760
spechmmer2GHZ	1.187917	0.001637	0.000221	0.077760
speclibm	3.493415	0.060972	0.000094	0.999944
speclibm2GHZ	3.493415	0.060972	0.000094	0.999944
specmcf		1.299095	0.002108	0.023612	0.055046
specmcf2GHZ	1.299095	0.002108	0.023612	0.055046
specsjeng	10.270554	0.121831	0.000020	0.999972
specsjeng2GHZ	10.270554	0.121831	0.000020	0.999972
